,num4black,num4white,0,1,2,3,4,5,6
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6B4C2B6E8F2C3E2D1F4G3,2.0,2.0,75.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6B4C2B6E8F2C3E2D1F4G3F7,2.0,2.0,76.0,1777.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6B4C2B6E8F2C3E2D1F4G3F7C7,2.0,1.0,77.0,262.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6B4C2B6E8F2C3E2D1F4G3F7C7H4,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3,2.0,6.0,79.0,443.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4,3.0,3.0,80.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2,3.0,3.0,81.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1,3.0,3.0,82.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2,3.0,3.0,83.0,509.0,1005.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1,8.0,1.0,84.0,2229.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4,7.0,1.0,85.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6,7.0,1.0,86.0,397.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6B2,6.0,1.0,87.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6B2E2,6.0,1.0,88.0,855.0,1189.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6B2E2C8,2.0,1.0,89.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6B2E2C8F8,2.0,1.0,90.0,586.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6C3B4F2D1C2C1F4B6B2E2C8F8F7,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6,39.0,1.0,92.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3,39.0,1.0,93.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5,39.0,1.0,94.0,105.0,295.0,310.0,374.0,380.0,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8,18.0,1.0,95.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5,18.0,1.0,96.0,339.0,525.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2,11.0,1.0,97.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3,11.0,1.0,98.0,141.0,959.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3,5.0,1.0,99.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7,5.0,1.0,100.0,1752.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7A3,4.0,1.0,101.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7A3C8,4.0,1.0,102.0,1124.0,1304.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7A3C8B8,1.0,2.0,103.0,777.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7A3C8B8D1,1.0,1.0,104.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3G3C7A3C8B8D1F4,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5A3,2.0,4.0,106.0,1310.0,,,,,
