,num4black,num4white,0,1,2
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2G4H5H4H3F1E2D2D1G2E1C1C4H2C2,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2,1.0,1.0,125.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2E2,1.0,1.0,126.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2E2D7,1.0,1.0,127.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2E2D7C4,1.0,1.0,128.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2E2D7C4H5,1.0,1.0,129.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2F2E2D7C4H5G6,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8C4,1.0,1.0,131.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8C4E8,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7,1.0,3.0,133.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4,1.0,3.0,134.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8,1.0,3.0,135.0,140.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8C8,1.0,2.0,136.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8C8C4,1.0,2.0,137.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8C8C4C3,1.0,2.0,138.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8C8C4C3C2,1.0,2.0,139.0,180.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8C8C4C3C2D7,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8H5,1.0,1.0,141.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8H5E2,1.0,1.0,142.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3C7G4E8H5E2G6,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2F8B3,1.0,1.0,144.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D7F2F8B3D1,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H3B4C8,1.0,1.0,146.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3F3E3C4G6G4H6D2C2F2F1C3H3B4C8B6,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2H6,2.0,1.0,148.0,190.0,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2H6H5,1.0,1.0,149.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F3E3G3G4H4C2C3E2D2F2H6H5G6,1.0,1.0,,,
