,num4black,num4white,0,1,2
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1,2.0,1.0,103.0,160.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1B5,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1G7,1.0,1.0,105.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1G7H4,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8,2.0,2.0,107.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6,2.0,2.0,108.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8,2.0,2.0,109.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4,2.0,2.0,110.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6,2.0,2.0,111.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8,2.0,2.0,112.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2,2.0,2.0,113.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5,2.0,2.0,114.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2,2.0,2.0,115.0,154.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2,2.0,1.0,116.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3,2.0,1.0,117.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2,2.0,1.0,118.0,149.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1,1.0,2.0,119.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6,1.0,2.0,120.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5,1.0,2.0,121.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8,1.0,2.0,122.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8,1.0,2.0,123.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8E1,1.0,2.0,124.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8E1B8,1.0,2.0,125.0,148.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8E1B8A3,1.0,1.0,126.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8E1B8A3A6,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3G2,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3,1.0,2.0,129.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2,1.0,2.0,130.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6,1.0,2.0,131.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7,1.0,2.0,132.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4,1.0,2.0,133.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7,1.0,2.0,134.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3,1.0,2.0,135.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2,1.0,2.0,136.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2,1.0,2.0,137.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3,1.0,2.0,138.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2,1.0,2.0,139.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1,1.0,2.0,140.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1,1.0,2.0,141.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1,1.0,2.0,142.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1,1.0,2.0,143.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1,1.0,2.0,144.0,166.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1E8,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6,1.0,2.0,146.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2,1.0,2.0,147.0,177.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2B3,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2D1B6A5F8G8E1B8G7,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2E2B3D2A5,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4F8,2.0,1.0,151.0,165.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4F8B6,1.0,1.0,152.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4F8B6B3,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4H3G7B4A4B5,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2B3,2.0,1.0,155.0,183.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2B3D2,1.0,1.0,156.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2B3D2F8,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4B5,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1G7,1.0,1.0,159.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1G7H4,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1F1,1.0,1.0,161.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8,1.0,1.0,162.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3,1.0,1.0,163.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3E1,1.0,1.0,164.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8G6E8F7F8H5D3D2E2C2D1H4H3G7B4A4C1F1H8B3E1B1,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4F8C2,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6,2.0,1.0,167.0,168.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6H3,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7,1.0,1.0,169.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3,1.0,1.0,170.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4,1.0,1.0,171.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3,1.0,1.0,172.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3B5,1.0,1.0,173.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3B5B7,1.0,1.0,174.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3B5B7A5,1.0,1.0,175.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3B5B7A5A6,1.0,1.0,176.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3D3D2G6C7B4F7B3C2E2G3F2E1C1F1D1B1B6E7H3A4A3B5B7A5A6H4,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8,1.0,1.0,178.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8G8,1.0,1.0,179.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8G8B3,1.0,1.0,180.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8G8B3B5,1.0,1.0,181.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8G8B3B5D1,1.0,1.0,182.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4A6C2F8G8B3B5D1E2,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2B3E2,1.0,1.0,184.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3E8G6C8B4H6D8C2B5F2B3E2D2,1.0,1.0,,,
