,num4black,num4white,0,1,2,3,4,5,6,7
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5,7.0,2.0,98.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7,7.0,2.0,99.0,1826.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7G8,3.0,2.0,100.0,1963.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7G8C5,4.0,1.0,101.0,2308.0,3364.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7G8C5B5,1.0,4.0,102.0,1010.0,2123.0,2914.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7G8C5B5A4,2.0,1.0,103.0,1935.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5F1G3G6G4H3E7H6C2H4H5F7G8C5B5A4B3,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5,1.0,20.0,105.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7,1.0,20.0,106.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6,1.0,20.0,107.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3,1.0,20.0,108.0,422.0,496.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5,3.0,3.0,109.0,336.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2,2.0,3.0,110.0,2859.0,4022.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1,2.0,1.0,111.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3,2.0,1.0,112.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8,2.0,1.0,113.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8D1,2.0,1.0,114.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8D1E1,2.0,1.0,115.0,756.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8D1E1E2,1.0,1.0,116.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8D1E1E2B5,1.0,1.0,117.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4H5F7H6G3A5C2F1H3F8D1E1E2B5C5,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1,1.0,14.0,119.0,180.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5,1.0,9.0,120.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3,1.0,9.0,121.0,361.0,809.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4,2.0,3.0,122.0,2239.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2,1.0,3.0,123.0,4943.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7,3.0,1.0,124.0,1356.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7C8,2.0,1.0,125.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7C8H5,2.0,1.0,126.0,218.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7C8H5H4,1.0,1.0,127.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7C8H5H4H3,1.0,1.0,128.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1C5B3A4E2D7C8H5H4H3H6,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4,4.0,4.0,130.0,298.0,768.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3,2.0,4.0,131.0,581.0,1018.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7,2.0,2.0,132.0,3511.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7E8,1.0,6.0,133.0,775.0,928.0,2099.0,2765.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7E8H5,5.0,1.0,134.0,2336.0,,,,,,
